Epoch,Training Error,Validation Error
0,82.091918,78.071834
1,83.359746,78.071834
2,84.310618,78.071834
3,81.854200,78.071834
4,82.091918,78.071834
5,82.448494,78.071834
6,81.854200,78.071834
7,81.774960,78.071834
8,81.022187,78.071834
9,82.091918,78.071834
10,81.180666,78.071834
11,81.854200,78.071834
12,81.220285,60.680529
13,81.141046,78.071834
14,82.329635,78.071834
15,81.616482,78.071834
16,82.012678,78.071834
17,79.992076,78.071834
18,82.805071,78.071834
19,82.171157,78.071834
20,82.329635,78.071834
21,83.399366,78.071834
22,78.961965,77.693762
23,77.179081,62.192817
24,76.862124,45.935728
25,71.156894,55.198488
26,68.383518,61.814745
27,70.206022,52.362949
28,64.183835,55.954631
29,64.064976,55.576560
30,62.757528,55.576560
31,65.927100,55.387524
32,65.768621,55.387524
33,65.570523,55.387524
34,65.491284,55.387524
35,65.451664,55.387524
36,65.451664,55.387524
37,65.451664,55.387524
38,65.451664,55.387524
39,65.451664,55.387524
40,65.372425,55.387524
41,65.332805,55.387524
42,65.332805,55.387524
43,65.293185,55.387524
44,65.293185,55.387524
45,65.293185,55.387524
46,65.293185,55.387524
47,65.293185,55.387524
48,65.293185,55.387524
49,65.293185,55.387524
50,65.293185,55.387524
51,65.293185,55.387524
52,65.293185,55.387524
53,65.293185,55.387524
54,65.293185,55.387524
55,65.293185,55.387524
56,65.253566,55.387524
57,65.055468,55.387524
58,64.976228,55.387524
59,64.540412,55.009452
60,64.025357,54.820416
61,64.302694,54.631380
62,63.351823,54.631380
63,63.391442,54.631380
64,62.916006,54.631380
65,62.480190,54.631380
66,62.361331,54.631380
67,62.083994,54.631380
68,61.727417,54.631380
69,61.648177,54.442344
70,61.053883,54.253308
71,61.489699,53.875236
72,60.657686,53.875236
73,60.221870,53.686200
74,59.706815,53.308129
75,59.627575,53.497164
76,58.795563,53.308129
77,58.637084,53.308129
78,58.240887,53.308129
79,58.122029,53.119093
80,57.963550,52.930057
81,57.844691,52.551985
82,57.606973,52.551985
83,57.488114,52.551985
84,57.290016,52.551985
85,57.210777,52.362949
86,57.131537,52.173913
87,57.091918,51.984877
88,57.091918,51.984877
89,57.052298,51.984877
90,57.052298,51.984877
91,57.091918,51.984877
92,57.052298,51.984877
93,57.091918,51.984877
94,57.131537,51.984877
95,57.131537,52.173913
96,57.131537,52.173913
97,57.131537,52.173913
98,57.131537,52.362949
99,57.171157,52.173913
100,57.171157,52.173913
101,57.131537,52.173913
102,57.171157,52.362949
103,57.210777,52.362949
104,57.210777,52.362949
105,57.250396,52.362949
106,57.290016,52.362949
107,57.290016,52.362949
108,57.250396,52.362949
109,57.329635,52.362949
110,57.290016,52.362949
111,57.329635,52.362949
112,56.616482,52.362949
113,57.290016,52.362949
114,57.329635,52.362949
115,57.290016,52.362949
116,57.329635,52.362949
117,57.290016,52.362949
118,57.131537,52.362949
119,57.290016,52.362949
120,57.290016,52.362949
121,57.329635,52.362949
122,57.290016,52.362949
123,57.052298,52.362949
124,57.250396,52.362949
125,57.171157,52.362949
126,57.329635,52.362949
127,56.180666,52.362949
128,57.052298,52.362949
129,57.052298,52.362949
130,57.210777,52.362949
131,57.131537,52.362949
132,57.131537,52.362949
133,57.012678,52.362949
134,57.171157,52.362949
135,57.012678,52.551985
136,57.012678,52.362949
137,56.973059,52.551985
138,57.091918,52.173913
139,56.933439,52.362949
140,56.933439,52.551985
141,56.973059,51.984877
142,56.933439,51.984877
143,56.854200,51.795841
144,56.458003,51.795841
145,57.012678,51.795841
146,57.091918,51.795841
147,56.973059,51.795841
148,56.893819,51.795841
149,56.893819,51.795841
150,56.893819,51.795841
151,57.012678,51.606805
152,56.854200,51.795841
153,57.012678,51.606805
154,56.854200,51.606805
155,56.933439,52.173913
156,56.735341,51.795841
157,56.893819,51.606805
158,56.854200,51.795841
159,56.695721,51.606805
160,56.735341,51.795841
161,56.735341,51.795841
162,56.735341,51.795841
163,56.458003,51.417769
164,56.497623,51.417769
165,56.893819,51.417769
166,56.735341,51.606805
167,56.656101,51.417769
168,56.378764,51.417769
169,56.378764,51.228733
170,56.616482,51.417769
171,56.299525,51.417769
172,56.141046,51.606805
173,56.180666,51.606805
174,56.418384,51.228733
175,55.982567,51.228733
176,56.180666,51.228733
177,55.507132,51.228733
178,56.418384,51.039698
179,56.022187,51.039698
180,56.141046,50.472590
181,55.744849,50.472590
182,55.824089,50.661626
183,55.427892,51.039698
184,56.101426,49.905482
185,55.744849,49.716446
186,55.903328,48.582231
187,55.190174,49.149338
188,54.833597,49.338374
189,54.556260,50.472590
190,55.705230,48.582231
191,55.507132,47.637051
192,54.199683,48.015123
193,54.041204,48.015123
194,53.961965,47.637051
195,54.833597,46.691871
196,52.575277,47.069943
197,54.477021,45.368620
198,50.475436,46.502836
199,52.733756,45.368620
200,51.822504,44.423440
201,49.167987,45.368620
202,51.148970,41.209830
203,50.435816,39.130435
204,49.049128,37.051040
205,45.641838,38.185255
206,46.671949,37.240076
207,48.494453,34.404537
208,44.017433,34.971645
209,44.255151,34.593573
210,44.968304,34.593573
211,44.175911,33.270321
212,42.908082,32.892250
213,43.026941,32.136106
214,41.877971,32.325142
215,41.917591,32.136106
216,41.917591,32.136106
217,41.521395,31.568998
218,41.719493,31.190926
219,41.679873,31.379962
220,41.600634,31.190926
221,41.640254,31.190926
222,41.204437,31.001890
223,41.442155,31.001890
224,41.402536,31.001890
225,41.362916,30.812854
226,41.323296,30.245747
227,41.323296,30.056711
228,41.085578,30.245747
229,41.164818,30.056711
230,40.927100,30.056711
231,40.966719,30.056711
232,40.887480,30.056711
233,40.927100,29.678639
234,40.847861,29.678639
235,40.847861,29.678639
236,40.649762,29.678639
237,40.689382,29.489603
238,40.610143,29.489603
239,40.332805,29.300567
240,40.649762,29.300567
241,40.610143,29.300567
242,40.570523,29.300567
243,40.649762,29.300567
244,40.570523,29.300567
245,40.174326,29.300567
246,40.491284,29.489603
247,40.530903,29.489603
248,40.293185,29.489603
249,40.649762,29.489603
250,40.689382,29.489603
251,40.491284,29.489603
252,40.253566,29.489603
